60 30 2340
 6 42  4.999E-07 -8.277E-10
 6 49 -7.207E-02  3.560E-02
 6 50  3.173E-02 -2.528E-02
 6 51 -9.958E-02  5.921E-02
 6 52 -7.849E-03  2.250E-03
 6 53 -3.880E-02  1.908E-02
 6 54 -8.721E-02  6.694E-02
 6 55 -1.993E-03  2.649E-04
 6 56  1.805E-03 -2.567E-04
 6 57 -4.188E-03  5.963E-04
 6 58  6.341E-04 -8.145E-05
 6 59 -1.240E-03  1.224E-04
 6 60 -2.227E-04  6.081E-06
 7  1 -5.671E-01  3.373E-01
 7  2 -2.075E-01  1.469E-01
 7  3  4.743E-01 -3.356E-01
 7  4 -2.304E-01  1.631E-01
 7  5 -2.425E-01  1.323E-01
 7  6 -2.434E-01  1.329E-01
 7  7 -1.153E+00  1.000E+00
 7  9 -2.168E-12 -4.640E-13
 7 11 -7.775E-01  5.654E-01
 7 12 -7.787E-01  5.662E-01
 7 13 -3.998E-03  7.288E-04
 7 14 -1.240E-03  2.462E-04
 7 15  8.622E-03 -1.688E-03
 7 16 -1.377E-03  2.733E-04
 7 17 -1.984E-03  2.632E-04
 7 18 -1.993E-03  2.649E-04
 7 19 -1.166E-01  5.220E-02
 7 21  1.750E-01 -9.231E-02
 7 23 -7.195E-02  3.556E-02
 7 24 -7.207E-02  3.560E-02
 7 31  5.348E-06  2.002E-10
 7 33 -1.453E-05 -6.624E-10
 7 37 -3.998E-03  7.288E-04
 7 38 -1.240E-03  2.462E-04
 7 39 -8.622E-03  1.688E-03
 7 40 -1.377E-03  2.733E-04
 7 41 -1.984E-03  2.632E-04
 7 42 -1.993E-03  2.649E-04
 7 43  5.348E-06  2.002E-10
 7 45  1.453E-05  6.624E-10
 7 49 -5.671E-01  3.373E-01
 7 50 -2.075E-01  1.469E-01
 7 51 -4.743E-01  3.356E-01
 7 52 -2.304E-01  1.631E-01
 7 53 -2.425E-01  1.323E-01
 7 54 -2.434E-01  1.329E-01
 7 55 -1.166E-01  5.220E-02
 7 57 -1.750E-01  9.231E-02
 7 59 -7.195E-02  3.556E-02
 7 60 -7.207E-02  3.560E-02
 8  1  2.075E-01 -1.469E-01
 8  2 -1.794E-01  1.531E-01
 8  3 -1.865E-01  1.701E-01
 8  4  8.695E-02 -8.265E-02
 8  5  6.556E-02 -3.208E-02
 8  6  2.054E-01 -1.506E-01
 8  8 -5.327E-01  1.000E+00
 8 11  9.799E-02 -9.252E-02
 8 12 -4.801E-01  4.907E-01
 8 13  1.240E-03 -2.462E-04
 8 14 -9.255E-04  1.287E-04
 8 15 -2.783E-03  5.985E-04
 8 16  4.382E-04 -9.692E-05
 8 17  4.451E-04 -5.456E-05
 8 18  1.805E-03 -2.567E-04
 8 20 -4.739E-02  2.724E-02
 8 23  1.095E-02 -4.769E-03
 8 24 -3.173E-02  2.528E-02
 8 32  7.552E-08  3.444E-10
 8 37  1.240E-03 -2.462E-04
 8 38 -9.255E-04  1.287E-04
 8 39  2.783E-03 -5.985E-04
 8 40  4.382E-04 -9.692E-05
 8 41  4.451E-04 -5.456E-05
 8 42  1.805E-03 -2.567E-04
 8 44  7.552E-08  3.444E-10
 8 49  2.075E-01 -1.469E-01
 8 50 -1.794E-01  1.531E-01
 8 51  1.865E-01 -1.701E-01
 8 52  8.695E-02 -8.265E-02
 8 53  6.556E-02 -3.208E-02
 8 54  2.054E-01 -1.506E-01
 8 56 -4.739E-02  2.724E-02
 8 59  1.095E-02 -4.769E-03
 8 60 -3.173E-02  2.528E-02
 9  1 -4.743E-01  3.356E-01
 9  2 -1.865E-01  1.701E-01
 9  3  1.594E-01 -1.612E-01
 9  4 -2.072E-01  1.889E-01
 9  5 -1.965E-01  1.161E-01
 9  6 -1.971E-01  1.166E-01
 9  7 -1.243E-12  4.640E-13
 9  9 -5.874E-01  1.000E+00
 9 13 -8.622E-03  1.688E-03
 9 14 -2.783E-03  5.985E-04
 9 15  1.837E-02 -3.887E-03
 9 16 -3.090E-03  6.644E-04
 9 17 -4.168E-03  5.923E-04
 9 18 -4.188E-03  5.963E-04
 9 19 -1.750E-01  9.231E-02
 9 21  2.269E-01 -1.536E-01
 9 23 -9.941E-02  5.913E-02
 9 24 -9.958E-02  5.921E-02
 9 31  1.453E-05  6.624E-10
 9 33 -3.943E-05 -1.838E-09
 9 37  8.622E-03 -1.688E-03
 9 38  2.783E-03 -5.985E-04
 9 39  1.837E-02 -3.887E-03
 9 40  3.090E-03 -6.644E-04
 9 41  4.168E-03 -5.923E-04
 9 42  4.188E-03 -5.963E-04
 9 43 -1.453E-05 -6.624E-10
 9 45 -3.943E-05 -1.838E-09
 9 49  4.743E-01 -3.356E-01
 9 50  1.865E-01 -1.701E-01
 9 51  1.594E-01 -1.612E-01
 9 52  2.072E-01 -1.889E-01
 9 53  1.965E-01 -1.161E-01
 9 54  1.971E-01 -1.166E-01
 9 55  1.750E-01 -9.231E-02
 9 57  2.269E-01 -1.536E-01
 9 59  9.941E-02 -5.913E-02
 9 60  9.958E-02 -5.921E-02
10  1  2.304E-01 -1.631E-01
10  2  8.695E-02 -8.265E-02
10  3 -2.072E-01  1.889E-01
10  4 -1.610E-01  1.358E-01
10  5  2.128E-01 -1.543E-01
10  6  8.720E-02 -4.779E-02
10 10 -5.353E-01  1.000E+00
10 11 -4.723E-01  4.836E-01
10 12  5.055E-02 -4.368E-02
10 13  1.377E-03 -2.733E-04
10 14  4.382E-04 -9.692E-05
10 15 -3.090E-03  6.644E-04
10 16 -8.337E-04  1.084E-04
10 17  1.855E-03 -2.624E-04
10 18  6.341E-04 -8.145E-05
10 22 -4.802E-02  2.724E-02
10 23 -3.078E-02  2.492E-02
10 24  7.849E-03 -2.250E-03
10 34  7.578E-08  3.444E-10
10 37  1.377E-03 -2.733E-04
10 38  4.382E-04 -9.692E-05
10 39  3.090E-03 -6.644E-04
10 40 -8.337E-04  1.084E-04
10 41  1.855E-03 -2.624E-04
10 42  6.341E-04 -8.145E-05
10 46  7.578E-08  3.444E-10
10 49  2.304E-01 -1.631E-01
10 50  8.695E-02 -8.265E-02
10 51  2.072E-01 -1.889E-01
10 52 -1.610E-01  1.358E-01
10 53  2.128E-01 -1.543E-01
10 54  8.720E-02 -4.779E-02
10 58 -4.802E-02  2.724E-02
10 59 -3.078E-02  2.492E-02
10 60  7.849E-03 -2.250E-03
11  1 -2.425E-01  1.323E-01
11  2 -6.556E-02  3.208E-02
11  3  1.965E-01 -1.161E-01
11  4 -2.128E-01  1.543E-01
11  5 -5.699E-02  2.105E-02
11  6 -1.259E-01  7.411E-02
11  7 -7.775E-01  5.654E-01
11  8  9.799E-02 -9.252E-02
11 10 -4.723E-01  4.836E-01
11 11 -6.970E-01  1.000E+00
11 12 -3.921E-01  2.677E-01
11 13 -1.984E-03  2.632E-04
11 14 -4.451E-04  5.456E-05
11 15  4.168E-03 -5.923E-04
11 16 -1.855E-03  2.624E-04
11 17 -2.180E-04  5.870E-06
11 18 -1.240E-03  1.224E-04
11 19 -7.195E-02  3.556E-02
11 20  1.095E-02 -4.769E-03
11 21  9.941E-02 -5.913E-02
11 22 -3.078E-02  2.492E-02
11 23 -8.714E-02  6.694E-02
11 24 -3.880E-02  1.908E-02
11 35  5.013E-07 -8.277E-10
11 37 -1.984E-03  2.632E-04
11 38 -4.451E-04  5.456E-05
11 39 -4.168E-03  5.923E-04
11 40 -1.855E-03  2.624E-04
11 41 -2.180E-04  5.870E-06
11 42 -1.240E-03  1.224E-04
11 47  5.013E-07 -8.277E-10
11 49 -2.425E-01  1.323E-01
11 50 -6.556E-02  3.208E-02
11 51 -1.965E-01  1.161E-01
11 52 -2.128E-01  1.543E-01
11 53 -5.699E-02  2.105E-02
11 54 -1.259E-01  7.411E-02
11 55 -7.195E-02  3.556E-02
11 56  1.095E-02 -4.769E-03
11 57 -9.941E-02  5.913E-02
11 58 -3.078E-02  2.492E-02
11 59 -8.714E-02  6.694E-02
11 60 -3.880E-02  1.908E-02
12  1 -2.434E-01  1.329E-01
12  2 -2.054E-01  1.506E-01
12  3  1.971E-01 -1.166E-01
12  4 -8.720E-02  4.779E-02
12  5 -1.259E-01  7.411E-02
12  6 -5.751E-02  2.128E-02
12  7 -7.787E-01  5.662E-01
12  8 -4.801E-01  4.907E-01
12 10  5.055E-02 -4.368E-02
12 11 -3.921E-01  2.677E-01
12 12 -6.979E-01  1.000E+00
12 13 -1.993E-03  2.649E-04
12 14 -1.805E-03  2.567E-04
12 15  4.188E-03 -5.963E-04
12 16 -6.341E-04  8.145E-05
12 17 -1.240E-03  1.224E-04
12 18 -2.227E-04  6.081E-06
12 19 -7.207E-02  3.560E-02
12 20 -3.173E-02  2.528E-02
12 21  9.958E-02 -5.921E-02
12 22  7.849E-03 -2.250E-03
12 23 -3.880E-02  1.908E-02
12 24 -8.721E-02  6.694E-02
12 36  4.999E-07 -8.277E-10
12 37 -1.993E-03  2.649E-04
12 38 -1.805E-03  2.567E-04
12 39 -4.188E-03  5.963E-04
12 40 -6.341E-04  8.145E-05
12 41 -1.240E-03  1.224E-04
12 42 -2.227E-04  6.081E-06
12 48  4.999E-07 -8.277E-10
12 49 -2.434E-01  1.329E-01
12 50 -2.054E-01  1.506E-01
12 51 -1.971E-01  1.166E-01
12 52 -8.720E-02  4.779E-02
12 53 -1.259E-01  7.411E-02
12 54 -5.751E-02  2.128E-02
12 55 -7.207E-02  3.560E-02
12 56 -3.173E-02  2.528E-02
12 57 -9.958E-02  5.921E-02
12 58  7.849E-03 -2.250E-03
12 59 -3.880E-02  1.908E-02
12 60 -8.721E-02  6.694E-02
13  1 -1.166E-01  5.220E-02
13  3 -1.750E-01  9.231E-02
13  5 -7.195E-02  3.556E-02
13  6 -7.207E-02  3.560E-02
13  7 -3.998E-03  7.288E-04
13  8  1.240E-03 -2.462E-04
13  9 -8.622E-03  1.688E-03
13 10  1.377E-03 -2.733E-04
13 11 -1.984E-03  2.632E-04
13 12 -1.993E-03  2.649E-04
13 13 -1.153E+00  1.000E+00
13 15 -2.166E-12 -4.640E-13
13 17 -7.775E-01  5.654E-01
13 18 -7.787E-01  5.662E-01
13 19 -5.671E-01  3.373E-01
13 20  2.075E-01 -1.469E-01
13 21 -4.743E-01  3.356E-01
13 22  2.304E-01 -1.631E-01
13 23 -2.425E-01  1.323E-01
13 24 -2.434E-01  1.329E-01
13 25 -1.166E-01  5.220E-02
13 27  1.750E-01 -9.231E-02
13 29 -7.195E-02  3.556E-02
13 30 -7.207E-02  3.560E-02
13 31 -5.671E-01  3.373E-01
13 32  2.075E-01 -1.469E-01
13 33  4.743E-01 -3.356E-01
13 34  2.304E-01 -1.631E-01
13 35 -2.425E-01  1.323E-01
13 36 -2.434E-01  1.329E-01
13 37  5.348E-06  2.002E-10
13 39 -1.453E-05 -6.624E-10
13 43 -3.998E-03  7.288E-04
13 44  1.240E-03 -2.462E-04
13 45  8.622E-03 -1.688E-03
13 46  1.377E-03 -2.733E-04
13 47 -1.984E-03  2.632E-04
13 48 -1.993E-03  2.649E-04
13 49  5.348E-06  2.002E-10
13 51  1.453E-05  6.624E-10
14  2 -4.739E-02  2.724E-02
14  5 -1.095E-02  4.769E-03
14  6  3.173E-02 -2.528E-02
14  7 -1.240E-03  2.462E-04
14  8 -9.255E-04  1.287E-04
14  9 -2.783E-03  5.985E-04
14 10  4.382E-04 -9.692E-05
14 11 -4.451E-04  5.456E-05
14 12 -1.805E-03  2.567E-04
14 14 -5.327E-01  1.000E+00
14 17 -9.799E-02  9.252E-02
14 18  4.801E-01 -4.907E-01
14 19 -2.075E-01  1.469E-01
14 20 -1.794E-01  1.531E-01
14 21 -1.865E-01  1.701E-01
14 22  8.695E-02 -8.265E-02
14 23 -6.556E-02  3.208E-02
14 24 -2.054E-01  1.506E-01
14 26 -4.739E-02  2.724E-02
14 29 -1.095E-02  4.769E-03
14 30  3.173E-02 -2.528E-02
14 31 -2.075E-01  1.469E-01
14 32 -1.794E-01  1.531E-01
14 33  1.865E-01 -1.701E-01
14 34  8.695E-02 -8.265E-02
14 35 -6.556E-02  3.208E-02
14 36 -2.054E-01  1.506E-01
14 38  7.552E-08  3.444E-10
14 43 -1.240E-03  2.462E-04
14 44 -9.255E-04  1.287E-04
14 45  2.783E-03 -5.985E-04
14 46  4.382E-04 -9.692E-05
14 47 -4.451E-04  5.456E-05
14 48 -1.805E-03  2.567E-04
14 50  7.552E-08  3.444E-10
15  1  1.750E-01 -9.231E-02
15  3  2.269E-01 -1.536E-01
15  5  9.941E-02 -5.913E-02
15  6  9.958E-02 -5.921E-02
15  7  8.622E-03 -1.688E-03
15  8 -2.783E-03  5.985E-04
15  9  1.837E-02 -3.887E-03
15 10 -3.090E-03  6.644E-04
15 11  4.168E-03 -5.923E-04
15 12  4.188E-03 -5.963E-04
15 13 -1.241E-12  4.640E-13
15 15 -5.874E-01  1.000E+00
15 19  4.743E-01 -3.356E-01
15 20 -1.865E-01  1.701E-01
15 21  1.594E-01 -1.612E-01
15 22 -2.072E-01  1.889E-01
15 23  1.965E-01 -1.161E-01
15 24  1.971E-01 -1.166E-01
15 25 -1.750E-01  9.231E-02
15 27  2.269E-01 -1.536E-01
15 29 -9.941E-02  5.913E-02
15 30 -9.958E-02  5.921E-02
15 31 -4.743E-01  3.356E-01
15 32  1.865E-01 -1.701E-01
15 33  1.594E-01 -1.612E-01
15 34  2.072E-01 -1.889E-01
15 35 -1.965E-01  1.161E-01
15 36 -1.971E-01  1.166E-01
15 37  1.453E-05  6.624E-10
15 39 -3.943E-05 -1.838E-09
15 43 -8.622E-03  1.688E-03
15 44  2.783E-03 -5.985E-04
